ticker,pattern_name,signal,pattern_date,key_values,strength,current_price
M&M,RSI Divergence (Bullish),bullish,2026-03-12,"{""price_low_1"": 3334.3, ""price_low_2"": 3031.2, ""rsi_low_1"": 21.96, ""rsi_low_2"": 29.24}",0.946,3041.3
HEROMOTOCO,RSI Divergence (Bullish),bullish,2026-03-12,"{""price_low_1"": 5465.0, ""price_low_2"": 5394.5, ""rsi_low_1"": 47.44, ""rsi_low_2"": 49.29}",0.159,5143.0
HEROMOTOCO,Support Bounce,bullish,2026-03-24,"{""support_20d"": 5051.0, ""close"": 5253.0, ""distance_to_support_pct"": 1.46}",0.589,5143.0
ULTRACEMCO,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 10616.0, ""price_low_2"": 10362.0, ""rsi_low_1"": 20.52, ""rsi_low_2"": 26.4}",0.368,11049.0
ULTRACEMCO,Support Bounce,bullish,2026-03-24,"{""support_20d"": 10325.0, ""close"": 10764.0, ""distance_to_support_pct"": 1.42}",0.625,11049.0
ADANIPORTS,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1293.5, ""close"": 1344.2, ""distance_to_support_pct"": 1.55}",0.56,1337.8
ADANIENT,Support Bounce,bullish,2026-03-25,"{""support_20d"": 1813.7, ""close"": 1886.6, ""distance_to_support_pct"": 1.41}",0.601,1823.0
ITC,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 301.45, ""price_low_2"": 290.45, ""rsi_low_1"": 12.7, ""rsi_low_2"": 24.56}",0.648,294.7
ITC,Support Bounce,bullish,2026-03-24,"{""support_20d"": 289.55, ""close"": 291.25, ""distance_to_support_pct"": 0.28}",0.415,294.7
BRITANNIA,Support Bounce,bullish,2026-03-24,"{""support_20d"": 5475.5, ""close"": 5513.5, ""distance_to_support_pct"": 1.3}",0.224,5500.0
YESBANK,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 18.54, ""price_low_2"": 17.65, ""rsi_low_1"": 20.25, ""rsi_low_2"": 22.91}",0.464,18.12
YESBANK,Support Bounce,bullish,2026-03-24,"{""support_20d"": 17.56, ""close"": 18.07, ""distance_to_support_pct"": 1.71}",0.407,18.12
UPL,RSI Divergence (Bullish),bullish,2026-03-27,"{""price_low_1"": 608.8, ""price_low_2"": 595.85, ""rsi_low_1"": 34.0, ""rsi_low_2"": 40.33}",0.36,595.85
UPL,Support Bounce,bullish,2026-03-24,"{""support_20d"": 599.25, ""close"": 620.45, ""distance_to_support_pct"": 1.54}",0.517,595.85
NESTLEIND,RSI Divergence (Bullish),bullish,2026-03-09,"{""price_low_1"": 1278.5, ""price_low_2"": 1235.8, ""rsi_low_1"": 32.42, ""rsi_low_2"": 35.73}",0.366,1193.2
NESTLEIND,Support Bounce,bullish,2026-03-24,"{""support_20d"": 1164.8, ""close"": 1183.2, ""distance_to_support_pct"": 0.14}",0.562,1193.2
GRASIM,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 2568.6, ""price_low_2"": 2531.1, ""rsi_low_1"": 26.59, ""rsi_low_2"": 34.2}",0.345,2628.2
GRASIM,Support Bounce,bullish,2026-03-24,"{""support_20d"": 2502.5, ""close"": 2549.4, ""distance_to_support_pct"": 0.82}",0.461,2628.2
HCLTECH,RSI Divergence (Bullish),bullish,2026-03-19,"{""price_low_1"": 1325.4, ""price_low_2"": 1311.8, ""rsi_low_1"": 27.84, ""rsi_low_2"": 34.72}",0.288,1364.4
HCLTECH,Support Bounce,bullish,2026-03-23,"{""support_20d"": 1297.7, ""close"": 1358.6, ""distance_to_support_pct"": 0.95}",0.774,1364.4
TITAN,Support Bounce,bullish,2026-03-24,"{""support_20d"": 3825.0, ""close"": 3899.5, ""distance_to_support_pct"": 0.47}",0.54,3981.5
SBICARD,RSI Divergence (Bullish),bullish,2026-03-23,"{""price_low_1"": 693.85, ""price_low_2"": 653.3, ""rsi_low_1"": 12.91, ""rsi_low_2"": 18.69}",0.641,673.95
SBICARD,Support Bounce,bullish,2026-03-24,"{""support_20d"": 650.05, ""close"": 673.5, ""distance_to_support_pct"": 1.43}",0.547,673.95
GODREJCP,Support Bounce,bullish,2026-03-24,"{""support_20d"": 988.0, ""close"": 1006.9, ""distance_to_support_pct"": 1.12}",0.405,1008.7
KOTAKBANK,Support Bounce,bullish,2026-03-24,"{""support_20d"": 355.25, ""close"": 366.85, ""distance_to_support_pct"": 1.73}",0.446,366.15
HINDUNILVR,RSI Divergence (Bullish),bullish,2026-03-12,"{""price_low_1"": 2261.3, ""price_low_2"": 2136.9, ""rsi_low_1"": 28.07, ""rsi_low_2"": 29.68}",0.488,2074.4
HINDUNILVR,Support Bounce,bullish,2026-03-24,"{""support_20d"": 2033.3, ""close"": 2085.0, ""distance_to_support_pct"": 1.61}",0.383,2074.4
CIPLA,RSI Divergence (Bullish),bullish,2026-03-16,"{""price_low_1"": 1313.2, ""price_low_2"": 1300.0, ""rsi_low_1"": 40.62, ""rsi_low_2"": 41.02}",0.092,1242.3
CIPLA,Support Bounce,bullish,2026-03-25,"{""support_20d"": 1216.6, ""close"": 1244.4, ""distance_to_support_pct"": 0.2}",0.635,1242.3
BEL,Support Bounce,bullish,2026-03-24,"{""support_20d"": 404.0, ""close"": 414.45, ""distance_to_support_pct"": 1.18}",0.475,404.75
SHRIRAMFIN,RSI Divergence (Bullish),bullish,2026-03-19,"{""price_low_1"": 987.2, ""price_low_2"": 949.8, ""rsi_low_1"": 31.5, ""rsi_low_2"": 31.76}",0.311,903.8
